year,region,species
1981,Diana,Eulemur fulvus
1987,Anosy,Eulemur collaris
1987,Anosy,Microcebus sp.
1988,Vakinankaratra,unknown
1990,Analamanga,Microcebus sp.
1991,Atsinanana,Microcebus sp.
1992,Atsimo-Andrefana,Lemur catta
1992,Analamanga,Lepilemur sp.
1995,unknown,unknown
1995,unknown,unknown
1995,Atsimo-Andrefana,Eulemur rufus
1995,Analamanga,Lemur catta
1995,Analamanga,Lemur catta
1995,Sava,Varecia variegata
1996,Analamanga,Lemur catta
1997,Diana,unknown
1997,Diana,Indri indri
1998,Ile Sainte Marie,Varecia sp.
1999,Diana,Eulemur coronatus
1999,Haute Matsiatra,Eulemur sp.
1999,Atsinanana,Hapalemur alaotrensis
1999,unknown,Lemur catta
2000,unknown,unknown
2000,Haute Matsiatra,Cheirogaleus sp.
2000,Atsinanana,Hapalemur sp.
2000,Atsinanana,Hapalemur sp.
2000,Atsinanana,Microcebus sp.
2000,Nosy Sainte Marie,Varecia variegata
2001,Analamanga,unknown
2001,Atsimo-Andrefana,unknown
2001,Sava,Eulemur albifrons
2001,Diana,Lemur catta
2001,Analamanga,Varecia variegata
2002,Amoron'I Mania,unknown
2002,unknown,Eulemur fulvus
2002,Atsimo-Andrefana,Eulemur fulvus
2002,unknown,Lemur catta
2002,Atsimo-Andrefana,Microcebus sp.
2003,Sofia,Eulemur flavifrons
2003,Atsimo-Andrefana,Lemur catta
2003,unknown,Varecia sp.
2004,Anosy,Eulemur collaris
2004,Sofia,Eulemur fulvus
2004,Atsimo-Andrefana,Lemur catta
2004,Atsimo-Andrefana,Lemur catta
2005,unknown,unknown
2005,Sofia,unknown
2005,Sofia,unknown
2005,unknown,Eulemur fulvus
2005,Sofia,Eulemur fulvus
2005,Vakinankaratra,Eulemur fulvus
2005,Atsinanana,Eulemur sp.
2005,Atsinanana,Indri indri
2005,Atsimo-Andrefana,Lemur catta
2005,Atsimo-Andrefana,Lemur catta
2005,Atsinanana,Lemur catta
2005,Atsimo-Andrefana,Microcebus sp.
2005,Boeny,Microcebus sp.
2005,Analanjirofo,Varecia variegata
2005,Atsinanana,Varecia variegata
2006,Diana,unknown
2006,unknown,Eulemur fulvus
2006,Alaotra-Mangoro,Eulemur fulvus
2006,Alaotra-Mangoro,Propithecus sp.
2006,unknown,Varecia variegata
2006,Analanjirofo,Varecia variegata
2007,unknown,Eulemur rufifrons
2007,Analamanga,Eulemur sp.
2007,Atsimo-Andrefana,Lemur catta
2008,unknown,unknown
2008,unknown,unknown
2008,unknown,unknown
2008,Analanjirofo,Eulemur albifrons
2008,Anosy,Eulemur fulvus
2008,Boeny,Hapalemur griseus
2008,Anosy,Lemur catta
2008,Atsimo-Andrefana,Lemur catta
2008,Sava,Microcebus sp.
2008,unknown,Varecia variegata
2009,Alaotra-Mangoro,Eulemur fulvus
2009,Atsimo-Andrefana,Lemur catta
2009,Atsimo-Andrefana,Microcebus sp.
2010,Alaotra-Mangoro,unknown
2010,Vatovavy-Fitovinany,unknown
2010,Vatovavy-Fitovinany,unknown
2010,Atsimo-Atsinanana,Eulemur cinereiceps
2010,Diana,Eulemur coronatus
2010,Melaky,Eulemur fulvus
2010,Melaky,Eulemur fulvus
2010,Diana,Eulemur sanfordi
2010,Atsimo-Andrefana,Eulemur sp.
2010,Atsinanana,Hapalemur griseus
2011,Alaotra-Mangoro,unknown
2011,Atsimo-Atsinanana,unknown
2011,Menabe,unknown
2011,Sava,Cheirogaleus sp.
2011,Sava,Eulemur albifrons
2011,Sava,Eulemur albifrons
2011,Diana,Eulemur coronatus
2011,Alaotra-Mangoro,Eulemur fulvus
2011,Boeny,Eulemur fulvus
2011,Boeny,Eulemur fulvus
2011,Boeny,Eulemur mongoz
2011,Haute Matsiatra,Eulemur rubriventer
2011,Sava,Eulemur sp.
2011,Analanjirofo,Hapalemur sp.
2011,Ile Sainte Marie,Hapalemur sp.
2011,Anosy,Lemur catta
2011,Anosy,Lemur catta
2011,Atsimo-Andrefana,Lemur catta
2011,Atsimo-Andrefana,Lemur catta
2011,Atsimo-Andrefana,Lemur catta
2011,Atsimo-Andrefana,Lemur catta
2011,Analanjirofo,Microcebus sp.
2011,unknown,Varecia variegata
2012,Analanjirofo,unknown
2012,Diana,unknown
2012,Diana,unknown
2012,Diana,Eulemur coronatus
2012,Sofia,Eulemur fulvus
2012,Moramanga,Eulemur sp.
2012,Sofia,Eulemur sp.
2012,unknown,Lemur catta
2012,unknown,Lemur catta
2012,Anosy,Lemur catta
2012,Anosy,Lemur catta
2012,Atsimo-Andrefana,Lemur catta
2012,Atsimo-Andrefana,Lemur catta
2012,Atsimo-Andrefana,Lemur catta
2012,Atsimo-Andrefana,Lemur catta
2012,Boeny,Propithecus coquereli
2013,unknown,unknown
2013,Alaotra-Mangoro,unknown
2013,Analamanga,unknown
2013,Boeny,unknown
2013,Nosy Be,unknown
2013,Sava,Cheirogaleus sp.
2013,Sava,Eulemur albifrons
2013,Anosy,Eulemur collaris
2013,Diana,Eulemur coronatus
2013,Diana,Eulemur coronatus
2013,Diana,Eulemur coronatus
2013,Diana,Eulemur coronatus
2013,Diana,Eulemur coronatus
2013,Diana,Eulemur coronatus
2013,Sava,Eulemur coronatus
2013,Atsimo-Atsinanana,Eulemur fulvus
2013,Nosy Be,Eulemur fulvus
2013,Diana,Eulemur macaco
2013,Nosy Be,Eulemur macaco
2013,Atsimo-Andrefana,Eulemur rufifrons
2013,unknown,Eulemur rufus
2013,unknown,Eulemur rufus
2013,Diana,Eulemur sanfordi
2013,Diana,Eulemur sp.
2013,Nosy Be,Eulemur sp.
2013,Vatovavy-Fitovinany,Eulemur sp.
2013,Anosy,Hapalemur meridionalis
2013,unknown,Hapalemur sp.
2013,Analanjirofo,Hapalemur sp.
2013,Sava,Hapalemur sp.
2013,Vatovavy-Fitovinany,Hapalemur sp.
2013,unknown,Lemur catta
2013,Anosy,Lemur catta
2013,Atsimo-Andrefana,Lemur catta
2013,Atsimo-Andrefana,Lemur catta
2013,Atsimo-Andrefana,Lemur catta
2013,Atsimo-Andrefana,Lemur catta
2013,Atsimo-Andrefana,Lemur catta
2013,Haute Matsiatra,Lemur catta
2013,Vatovavy-Fitovinany,Lemur catta
2013,Diana,Lepilemur ankaranensis
2013,Alaotra-Mangoro,Propithecus sp.
2013,Anosy,Propithecus sp.
2013,unknown,Varecia variegata
2014,Alaotra-Mangoro,unknown
2014,Analanjirofo,unknown
2014,Atsinanana,unknown
2014,Melaky,unknown
2014,Nosy Be,unknown
2014,Nosy Be,unknown
2014,Sava,Cheirogaleus sp.
2014,Anosy,Eulemur collaris
2014,unknown,Eulemur coronatus
2014,Diana,Eulemur coronatus
2014,Sava,Eulemur coronatus
2014,unknown,Eulemur fulvus
2014,Alaotra-Mangoro,Eulemur fulvus
2014,Antsinanana,Eulemur fulvus
2014,Sofia,Eulemur fulvus
2014,unknown,Eulemur rufifrons
2014,Sofia,Eulemur rufus
2014,Diana,Eulemur sanfordi
